Act,Handle,Year,Num
Mahatma Gandhi National Rural Employment Guarantee Act,2014,2005,42
Credit Information Companies (Regulation) Act,2057,2005,30
Private Security Agencies (Regulation) Act,2024,2005,29
Special Economic Zones Act,2042,2005,28
Bihar Value Added Tax Act,18937,2005,27
University of Allahabad Act,2019,2005,26
Coastal Aquaculture Authority Act,2068,2005,24
Right to Information Act,2065,2005,22
Weapons of Mass Destruction and Their Delivery Systems (Prohibition of Unlawful Activities) Act,2017,2005,21
Parel Investments and Trading Private Limited and Domestic Gas Private Limited (Taking over of Management) Repeal Act,18939,2005,14
National Commission for Minority Educational Institutions Act,1897,2005,2
Prevention of Terrorism (Repeal) Act,1672,2004,26
Sick Industrial Companies (Special Provisions) Repeal Act,1414,2004,1
Industrial Development Bank (Transfer of Undertaking and Repeal) Act,2026,2003,53
Repatriation of Prisoners Act,2011,2003,49
Central Vigilance Commission Act,2067,2003,45
Fiscal Responsibility and Budget Management Act,2064,2003,39
Electricity Act,2058,2003,36
"Cigarettes and other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act",2053,2003,34
Biological Diversity Act,2046,2003,18
Offshore Areas Mineral (Development and Regulation) Act,2040,2003,17
Prevention of Money Laundering Act,2036,2003,15
Control of National Highways (Land and Traffic) Act,2028,2003,13
Competition Act,2010,2003,12
Suppression of Unlawful Acts against Safety of Maritime Navigation and Fixed Platforms on Continental Shelf Act,2009,2002,69
Metro Railway (Operation and Maintenance) Act,2008,2002,60
Unit Trust of India (Transfer of Undertaking and Repeal) Act,1889,2002,58
Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act,2006,2002,54
Multi-State Co-operative Societies Act,1914,2002,39
Foreign Aircraft (Exemption from Taxes and Duties on Fuel and Lubricants) Act,2005,2002,36
Haj Committee Act,1912,2002,35
Delimitation Act,2004,2002,33
Protection of Plant Varieties and Farmer's Right Act,2001,2001,53
Energy Conservation Act,2003,2001,52
Advocates' Welfare Fund Act,2002,2001,45
Indian Council of World Affairs Act,1950,2001,29
Central Road and Infrastructure Fund Act,1931,2000,54
Immigration (Carriers' Liability) Act,1934,2000,52
Coal India (Regulation of Transfer and Validation) Act,1990,2000,45
